img_name,algorithm,Background_px,Background_pct,Brain_px,Brain_pct,Tumor_px,Tumor_pct,total_px
1.mat,SSFCM,159627,60.89,89886,34.29,12631,4.82,262144
1.mat,GT,159625,60.89,97950,37.36,4569,1.74,262144
1159.mat,SSFCM,101895,38.87,144237,55.02,16012,6.11,262144
1159.mat,GT,101895,38.87,156072,59.54,4177,1.59,262144
160.mat,SSFCM,166054,63.34,87903,33.53,8187,3.12,262144
160.mat,GT,166050,63.34,93576,35.7,2518,0.96,262144
161.mat,SSFCM,171127,65.28,83741,31.94,7276,2.78,262144
161.mat,GT,171127,65.28,87809,33.5,3208,1.22,262144
162.mat,SSFCM,177609,67.75,77868,29.7,6667,2.54,262144
162.mat,GT,177603,67.75,81852,31.22,2689,1.03,262144
2387.mat,SSFCM,159745,60.94,85735,32.71,16664,6.36,262144
2387.mat,GT,159745,60.94,90507,34.53,11892,4.54,262144
877.mat,SSFCM,96941,36.98,144190,55.0,21013,8.02,262144
877.mat,GT,96939,36.98,159244,60.75,5961,2.27,262144

--- SUMMARY ---
img_name,algorithm,Background_px,Background_pct,Brain_px,Brain_pct,Tumor_px,Tumor_pct,total_px
MEAN,SSFCM,147571.1,56.29,101937.1,38.89,12635.7,4.82,262144.0
STD,SSFCM,31034.6,,26964.8,,5098.3,,
MEAN,GT,147569.1,56.29,109572.9,41.8,5002.0,1.91,262144.0
STD,GT,31033.8,,30766.4,,3023.7,,
